order_id,customer_id,order_date,order_status,payment_method,discount_applied,tax_amount,shipping_cost,shipment_date,delivery_date,specific_shipping_address,city,state,country,order_source
04220ea3_fati3151202207_96753,04220ea3_fati3151202207,"2023-05-28 00:00:00",Shipped,"Cash on Delivery",3.07,8.04,18.82,"2023-06-03 00:00:00","2023-06-08 00:00:00","37 Main St",NULL,Mymensingh,Bangladesh,"Mobile App"
04220ea3_fati3151202207_9a631,04220ea3_fati3151202207,"2023-06-03 00:00:00",Pending,"Bank Transfer",27.53,14.42,14.45,"2023-06-09 00:00:00","2023-06-08 00:00:00","52 Main St",NULL,Mymensingh,Bangladesh,"Social Media"
04220ea3_fati3151202207_a2703,04220ea3_fati3151202207,"2023-02-15 00:00:00",Delivered,PayPal,5.48,13.26,46.65,"2023-02-19 00:00:00","2023-02-22 00:00:00","30 Main St",NULL,Mymensingh,Bangladesh,"Mobile App"
04220ea3_fati3151202207_e2308,04220ea3_fati3151202207,"2023-01-04 00:00:00",Pending,"Cash on Delivery",11.58,12.73,25.93,"2023-01-06 00:00:00","2023-01-11 00:00:00","3 Main St",NULL,Mymensingh,Bangladesh,"Mobile App"
04220ea3_fati3151202207_ef9c8,04220ea3_fati3151202207,"2023-11-03 00:00:00",Returned,"Credit Card",27.04,17.43,29.23,"2023-11-04 00:00:00","2023-11-07 00:00:00","17 Main St",NULL,Mymensingh,Bangladesh,Website
04573b2f_kavi7990202204_05403,04573b2f_kavi7990202204,"2023-08-18 00:00:00",Pending,"Bank Transfer",48.94,17.22,38.75,"2023-08-21 00:00:00","2023-08-28 00:00:00","49 Main St",NULL,Delhi,India,Website
04573b2f_kavi7990202204_076c1,04573b2f_kavi7990202204,"2024-04-17 00:00:00",Cancelled,"Cash on Delivery",24.48,17.94,16.58,"2024-04-19 00:00:00","2024-04-22 00:00:00","31 Main St",NULL,Delhi,India,"Social Media"
04573b2f_kavi7990202204_09a33,04573b2f_kavi7990202204,"2023-05-29 00:00:00",Returned,"Bank Transfer",25.46,7.46,33.16,"2023-05-31 00:00:00","2023-06-11 00:00:00","74 Main St",NULL,Delhi,India,Website
04573b2f_kavi7990202204_0a941,04573b2f_kavi7990202204,"2023-09-25 00:00:00",Returned,"Bank Transfer",19.70,9.26,31.15,"2023-09-27 00:00:00","2023-10-03 00:00:00","58 Main St",NULL,Delhi,India,"Mobile App"
04573b2f_kavi7990202204_14e33,04573b2f_kavi7990202204,"2024-02-26 00:00:00",Shipped,"Bank Transfer",29.40,19.24,32.97,"2024-02-28 00:00:00","2024-02-29 00:00:00","35 Main St",NULL,Delhi,India,Website
04573b2f_kavi7990202204_14e6d,04573b2f_kavi7990202204,"2023-09-18 00:00:00",Returned,"Cash on Delivery",41.88,7.13,7.23,"2023-09-19 00:00:00","2023-10-01 00:00:00","34 Main St",NULL,Delhi,India,"Mobile App"
04573b2f_kavi7990202204_1aa3b,04573b2f_kavi7990202204,"2023-02-10 00:00:00",Delivered,"Credit Card",46.10,12.44,32.15,"2023-02-12 00:00:00","2023-02-23 00:00:00","39 Main St",NULL,Delhi,India,Website
04573b2f_kavi7990202204_66a52,04573b2f_kavi7990202204,"2023-12-23 00:00:00",Cancelled,"Cash on Delivery",12.47,13.80,21.02,"2023-12-28 00:00:00","2023-12-29 00:00:00","50 Main St",NULL,Delhi,India,"Mobile App"
04573b2f_kavi7990202204_71b2d,04573b2f_kavi7990202204,"2023-12-06 00:00:00",Returned,"Cash on Delivery",15.83,11.03,40.78,"2023-12-09 00:00:00","2023-12-19 00:00:00","40 Main St",NULL,Delhi,India,"Mobile App"
04573b2f_kavi7990202204_7f033,04573b2f_kavi7990202204,"2024-02-04 00:00:00",Shipped,"Credit Card",35.67,12.06,17.82,"2024-02-05 00:00:00","2024-02-17 00:00:00","30 Main St",NULL,Delhi,India,Website
04573b2f_kavi7990202204_8b4ed,04573b2f_kavi7990202204,"2024-04-11 00:00:00",Pending,"Cash on Delivery",16.24,14.10,6.31,"2024-04-14 00:00:00","2024-04-14 00:00:00","78 Main St",NULL,Delhi,India,"Social Media"
04573b2f_kavi7990202204_c2129,04573b2f_kavi7990202204,"2023-03-31 00:00:00",Delivered,"Bank Transfer",26.30,14.79,8.29,"2023-04-03 00:00:00","2023-04-06 00:00:00","80 Main St",NULL,Delhi,India,Website
04573b2f_kavi7990202204_c82d2,04573b2f_kavi7990202204,"2024-02-13 00:00:00",Pending,"Credit Card",18.90,8.08,21.86,"2024-02-17 00:00:00","2024-02-20 00:00:00","74 Main St",NULL,Delhi,India,Website
04573b2f_kavi7990202204_d4e31,04573b2f_kavi7990202204,"2023-09-10 00:00:00",Cancelled,"Credit Card",25.85,13.32,28.49,"2023-09-11 00:00:00","2023-09-23 00:00:00","72 Main St",NULL,Delhi,India,"Mobile App"
04573b2f_kavi7990202204_e077d,04573b2f_kavi7990202204,"2023-03-27 00:00:00",Delivered,"Credit Card",49.00,16.57,12.34,"2023-04-02 00:00:00","2023-04-07 00:00:00","100 Main St",NULL,Delhi,India,"Mobile App"
04e50ef3_ren.2231202305_293cc,04e50ef3_ren.2231202305,"2023-03-19 00:00:00",Returned,"Credit Card",7.99,13.11,15.54,"2023-03-26 00:00:00","2023-03-24 00:00:00","58 Main St",NULL,Fukuoka,Japan,Website
04e50ef3_ren.2231202305_5633e,04e50ef3_ren.2231202305,"2023-06-01 00:00:00",Shipped,PayPal,5.32,18.48,9.09,"2023-06-05 00:00:00","2023-06-15 00:00:00","69 Main St",NULL,Fukuoka,Japan,"Mobile App"
04e50ef3_ren.2231202305_5ede4,04e50ef3_ren.2231202305,"2023-10-05 00:00:00",Pending,"Cash on Delivery",31.63,6.14,32.72,"2023-10-09 00:00:00","2023-10-14 00:00:00","55 Main St",NULL,Fukuoka,Japan,"Mobile App"
04e50ef3_ren.2231202305_78c64,04e50ef3_ren.2231202305,"2023-02-11 00:00:00",Pending,"Bank Transfer",31.50,15.52,15.17,"2023-02-16 00:00:00","2023-02-22 00:00:00","2 Main St",NULL,Fukuoka,Japan,Website
04e50ef3_ren.2231202305_a2a39,04e50ef3_ren.2231202305,"2023-07-01 00:00:00",Shipped,"Credit Card",0.96,14.25,23.96,"2023-07-02 00:00:00","2023-07-13 00:00:00","60 Main St",NULL,Fukuoka,Japan,Website
04e50ef3_ren.2231202305_a83b8,04e50ef3_ren.2231202305,"2023-03-20 00:00:00",Shipped,"Bank Transfer",38.16,8.24,35.80,"2023-03-24 00:00:00","2023-03-24 00:00:00","82 Main St",NULL,Fukuoka,Japan,"Mobile App"
04e50ef3_ren.2231202305_ab8e1,04e50ef3_ren.2231202305,"2023-12-02 00:00:00",Pending,PayPal,2.37,13.03,40.76,"2023-12-08 00:00:00","2023-12-14 00:00:00","18 Main St",NULL,Fukuoka,Japan,"Mobile App"
04e50ef3_ren.2231202305_b22ac,04e50ef3_ren.2231202305,"2023-10-09 00:00:00",Delivered,PayPal,29.22,10.43,48.73,"2023-10-11 00:00:00","2023-10-12 00:00:00","53 Main St",NULL,Fukuoka,Japan,"Social Media"
04e50ef3_ren.2231202305_b91dd,04e50ef3_ren.2231202305,"2023-11-17 00:00:00",Delivered,"Credit Card",42.46,16.22,32.54,"2023-11-20 00:00:00","2023-11-28 00:00:00","79 Main St",NULL,Fukuoka,Japan,"Mobile App"
04e50ef3_ren.2231202305_fbb3c,04e50ef3_ren.2231202305,"2024-01-12 00:00:00",Returned,"Bank Transfer",18.24,18.74,27.59,"2024-01-17 00:00:00","2024-01-22 00:00:00","58 Main St",NULL,Fukuoka,Japan,"Social Media"
05044f8b_oliv0110202203_299fc,05044f8b_oliv0110202203,"2023-02-11 00:00:00",Delivered,"Cash on Delivery",5.24,8.11,11.27,"2023-02-12 00:00:00","2023-02-18 00:00:00","13 Main St",NULL,Victoria,Australia,Website
05044f8b_oliv0110202203_6f937,05044f8b_oliv0110202203,"2023-04-22 00:00:00",Shipped,"Credit Card",45.75,19.52,11.62,"2023-04-23 00:00:00","2023-04-29 00:00:00","21 Main St",NULL,Victoria,Australia,Website
05044f8b_oliv0110202203_715ff,05044f8b_oliv0110202203,"2023-07-12 00:00:00",Delivered,PayPal,43.77,9.64,19.34,"2023-07-14 00:00:00","2023-07-21 00:00:00","81 Main St",NULL,Victoria,Australia,"Social Media"
05044f8b_oliv0110202203_9594d,05044f8b_oliv0110202203,"2023-06-23 00:00:00",Returned,"Bank Transfer",49.55,16.11,46.60,"2023-06-28 00:00:00","2023-07-05 00:00:00","11 Main St",NULL,Victoria,Australia,"Social Media"
05044f8b_oliv0110202203_a999a,05044f8b_oliv0110202203,"2023-03-14 00:00:00",Delivered,PayPal,12.48,18.80,37.52,"2023-03-21 00:00:00","2023-03-18 00:00:00","30 Main St",NULL,Victoria,Australia,Website
05044f8b_oliv0110202203_aaa3b,05044f8b_oliv0110202203,"2023-05-25 00:00:00",Cancelled,PayPal,26.67,12.88,32.07,"2023-05-30 00:00:00","2023-06-08 00:00:00","19 Main St",NULL,Victoria,Australia,Website
05044f8b_oliv0110202203_ab817,05044f8b_oliv0110202203,"2023-11-14 00:00:00",Pending,PayPal,17.85,17.76,21.20,"2023-11-16 00:00:00","2023-11-28 00:00:00","37 Main St",NULL,Victoria,Australia,Website
05044f8b_oliv0110202203_b06ac,05044f8b_oliv0110202203,"2023-11-28 00:00:00",Pending,"Credit Card",16.34,19.77,11.22,"2023-12-04 00:00:00","2023-12-01 00:00:00","17 Main St",NULL,Victoria,Australia,"Social Media"
05044f8b_oliv0110202203_c0540,05044f8b_oliv0110202203,"2023-03-28 00:00:00",Returned,"Credit Card",25.20,16.33,47.89,"2023-04-01 00:00:00","2023-04-08 00:00:00","24 Main St",NULL,Victoria,Australia,Website
05044f8b_oliv0110202203_e11ee,05044f8b_oliv0110202203,"2024-02-03 00:00:00",Returned,"Bank Transfer",15.15,8.76,7.85,"2024-02-06 00:00:00","2024-02-16 00:00:00","85 Main St",NULL,Victoria,Australia,"Mobile App"
052b4320_xin.1570202306_0a4e0,052b4320_xin.1570202306,"2023-08-10 00:00:00",Returned,"Bank Transfer",7.34,12.91,45.52,"2023-08-16 00:00:00","2023-08-17 00:00:00","73 Main St",NULL,Singapore,Singapore,"Mobile App"
052b4320_xin.1570202306_17e00,052b4320_xin.1570202306,"2023-03-30 00:00:00",Cancelled,"Credit Card",12.73,12.34,48.97,"2023-03-31 00:00:00","2023-04-10 00:00:00","19 Main St",NULL,Singapore,Singapore,"Social Media"
052b4320_xin.1570202306_6e58c,052b4320_xin.1570202306,"2024-01-23 00:00:00",Shipped,"Bank Transfer",42.05,6.23,26.15,"2024-01-28 00:00:00","2024-02-06 00:00:00","35 Main St",NULL,Singapore,Singapore,"Mobile App"
052b4320_xin.1570202306_ae653,052b4320_xin.1570202306,"2024-03-23 00:00:00",Pending,"Cash on Delivery",33.84,15.01,39.29,"2024-03-26 00:00:00","2024-04-04 00:00:00","57 Main St",NULL,Singapore,Singapore,"Social Media"
052b4320_xin.1570202306_bb484,052b4320_xin.1570202306,"2023-10-24 00:00:00",Pending,PayPal,48.35,16.56,30.34,"2023-10-25 00:00:00","2023-10-27 00:00:00","53 Main St",NULL,Singapore,Singapore,"Social Media"
052b4320_xin.1570202306_d35b3,052b4320_xin.1570202306,"2023-08-25 00:00:00",Pending,"Cash on Delivery",6.74,7.41,21.50,"2023-08-26 00:00:00","2023-09-06 00:00:00","62 Main St",NULL,Singapore,Singapore,"Mobile App"
057aaf16_liam1798202208_136cb,057aaf16_liam1798202208,"2024-04-25 00:00:00",Returned,"Bank Transfer",14.57,12.69,40.34,"2024-04-26 00:00:00","2024-05-08 00:00:00","3 Main St",NULL,"Nova Scotia",Canada,"Mobile App"
057aaf16_liam1798202208_16d65,057aaf16_liam1798202208,"2023-04-22 00:00:00",Delivered,"Cash on Delivery",37.73,17.62,35.15,"2023-04-24 00:00:00","2023-05-05 00:00:00","24 Main St",NULL,"Nova Scotia",Canada,"Social Media"
057aaf16_liam1798202208_22250,057aaf16_liam1798202208,"2023-09-09 00:00:00",Pending,"Bank Transfer",19.86,14.77,17.68,"2023-09-10 00:00:00","2023-09-17 00:00:00","96 Main St",NULL,"Nova Scotia",Canada,"Mobile App"
057aaf16_liam1798202208_55df8,057aaf16_liam1798202208,"2023-08-09 00:00:00",Shipped,"Cash on Delivery",47.37,14.66,31.65,"2023-08-16 00:00:00","2023-08-21 00:00:00","75 Main St",NULL,"Nova Scotia",Canada,"Social Media"
057aaf16_liam1798202208_5d5f0,057aaf16_liam1798202208,"2023-05-22 00:00:00",Pending,"Bank Transfer",30.50,16.83,29.40,"2023-05-24 00:00:00","2023-05-25 00:00:00","95 Main St",NULL,"Nova Scotia",Canada,Website
057aaf16_liam1798202208_5ed1a,057aaf16_liam1798202208,"2023-07-20 00:00:00",Delivered,"Credit Card",26.12,10.23,40.58,"2023-07-24 00:00:00","2023-07-25 00:00:00","66 Main St",NULL,"Nova Scotia",Canada,"Social Media"
057aaf16_liam1798202208_5ef1b,057aaf16_liam1798202208,"2023-10-14 00:00:00",Pending,PayPal,0.77,5.81,7.00,"2023-10-15 00:00:00","2023-10-27 00:00:00","2 Main St",NULL,"Nova Scotia",Canada,Website
057aaf16_liam1798202208_6aa44,057aaf16_liam1798202208,"2024-01-07 00:00:00",Delivered,"Cash on Delivery",43.22,7.26,36.38,"2024-01-12 00:00:00","2024-01-21 00:00:00","87 Main St",NULL,"Nova Scotia",Canada,"Social Media"
057aaf16_liam1798202208_8d1c8,057aaf16_liam1798202208,"2023-07-02 00:00:00",Delivered,"Bank Transfer",21.38,7.36,29.41,"2023-07-09 00:00:00","2023-07-07 00:00:00","28 Main St",NULL,"Nova Scotia",Canada,"Mobile App"
057aaf16_liam1798202208_abf35,057aaf16_liam1798202208,"2023-10-07 00:00:00",Delivered,"Bank Transfer",49.59,11.85,22.29,"2023-10-09 00:00:00","2023-10-17 00:00:00","69 Main St",NULL,"Nova Scotia",Canada,Website
057aaf16_liam1798202208_c4a56,057aaf16_liam1798202208,"2023-08-07 00:00:00",Pending,"Cash on Delivery",40.21,5.64,26.26,"2023-08-08 00:00:00","2023-08-19 00:00:00","98 Main St",NULL,"Nova Scotia",Canada,Website
057aaf16_liam1798202208_cfa1e,057aaf16_liam1798202208,"2023-07-09 00:00:00",Cancelled,"Credit Card",4.67,7.01,41.99,"2023-07-10 00:00:00","2023-07-13 00:00:00","2 Main St",NULL,"Nova Scotia",Canada,"Social Media"
057aaf16_liam1798202208_e030a,057aaf16_liam1798202208,"2023-12-06 00:00:00",Shipped,"Credit Card",44.69,16.52,6.45,"2023-12-13 00:00:00","2023-12-19 00:00:00","49 Main St",NULL,"Nova Scotia",Canada,Website
057aaf16_liam1798202208_ebde1,057aaf16_liam1798202208,"2024-04-20 00:00:00",Shipped,"Credit Card",31.82,12.01,36.68,"2024-04-26 00:00:00","2024-04-29 00:00:00","65 Main St",NULL,"Nova Scotia",Canada,"Social Media"
057aaf16_liam1798202208_f26fc,057aaf16_liam1798202208,"2023-06-05 00:00:00",Shipped,"Credit Card",12.57,12.73,31.07,"2023-06-08 00:00:00","2023-06-10 00:00:00","74 Main St",NULL,"Nova Scotia",Canada,"Social Media"
05933f9f_yan.7082202307_0a11c,05933f9f_yan.7082202307,"2023-11-02 00:00:00",Shipped,PayPal,40.71,12.21,38.65,"2023-11-03 00:00:00","2023-11-05 00:00:00","8 Main St",NULL,Singapore,Singapore,"Mobile App"
05933f9f_yan.7082202307_20c19,05933f9f_yan.7082202307,"2023-02-08 00:00:00",Delivered,"Bank Transfer",39.85,6.76,22.13,"2023-02-12 00:00:00","2023-02-13 00:00:00","7 Main St",NULL,Singapore,Singapore,"Social Media"
05933f9f_yan.7082202307_29b6b,05933f9f_yan.7082202307,"2023-10-05 00:00:00",Shipped,PayPal,41.63,7.69,43.99,"2023-10-12 00:00:00","2023-10-11 00:00:00","64 Main St",NULL,Singapore,Singapore,"Social Media"
05933f9f_yan.7082202307_2dc49,05933f9f_yan.7082202307,"2024-01-29 00:00:00",Delivered,"Cash on Delivery",43.82,18.90,19.44,"2024-01-30 00:00:00","2024-02-08 00:00:00","59 Main St",NULL,Singapore,Singapore,"Social Media"
05933f9f_yan.7082202307_2fc5f,05933f9f_yan.7082202307,"2023-03-16 00:00:00",Delivered,PayPal,49.01,16.01,26.86,"2023-03-19 00:00:00","2023-03-27 00:00:00","30 Main St",NULL,Singapore,Singapore,"Mobile App"
05933f9f_yan.7082202307_3936e,05933f9f_yan.7082202307,"2024-03-19 00:00:00",Delivered,"Bank Transfer",10.16,18.17,13.79,"2024-03-24 00:00:00","2024-03-25 00:00:00","89 Main St",NULL,Singapore,Singapore,Website
05933f9f_yan.7082202307_45498,05933f9f_yan.7082202307,"2024-02-09 00:00:00",Shipped,"Cash on Delivery",31.30,18.91,43.09,"2024-02-15 00:00:00","2024-02-16 00:00:00","56 Main St",NULL,Singapore,Singapore,Website
05933f9f_yan.7082202307_4d35c,05933f9f_yan.7082202307,"2023-09-15 00:00:00",Returned,"Bank Transfer",19.35,18.11,9.75,"2023-09-18 00:00:00","2023-09-22 00:00:00","95 Main St",NULL,Singapore,Singapore,Website
05933f9f_yan.7082202307_7f3e8,05933f9f_yan.7082202307,"2023-03-07 00:00:00",Pending,PayPal,8.18,10.64,12.50,"2023-03-08 00:00:00","2023-03-13 00:00:00","10 Main St",NULL,Singapore,Singapore,Website
05933f9f_yan.7082202307_7fc63,05933f9f_yan.7082202307,"2023-05-24 00:00:00",Shipped,"Credit Card",25.80,11.57,6.86,"2023-05-30 00:00:00","2023-05-30 00:00:00","27 Main St",NULL,Singapore,Singapore,"Social Media"
05933f9f_yan.7082202307_8328a,05933f9f_yan.7082202307,"2024-03-23 00:00:00",Returned,PayPal,16.55,9.83,16.79,"2024-03-26 00:00:00","2024-03-27 00:00:00","51 Main St",NULL,Singapore,Singapore,"Social Media"
05933f9f_yan.7082202307_8c533,05933f9f_yan.7082202307,"2024-01-11 00:00:00",Returned,"Cash on Delivery",23.59,15.86,29.08,"2024-01-17 00:00:00","2024-01-16 00:00:00","34 Main St",NULL,Singapore,Singapore,"Social Media"
05933f9f_yan.7082202307_8d85f,05933f9f_yan.7082202307,"2023-06-18 00:00:00",Delivered,"Credit Card",43.51,10.04,39.75,"2023-06-23 00:00:00","2023-06-25 00:00:00","56 Main St",NULL,Singapore,Singapore,"Mobile App"
05933f9f_yan.7082202307_9094f,05933f9f_yan.7082202307,"2024-01-22 00:00:00",Cancelled,"Bank Transfer",16.23,11.28,43.77,"2024-01-29 00:00:00","2024-02-01 00:00:00","27 Main St",NULL,Singapore,Singapore,Website
05933f9f_yan.7082202307_984d1,05933f9f_yan.7082202307,"2023-08-14 00:00:00",Shipped,"Credit Card",10.54,5.79,35.70,"2023-08-17 00:00:00","2023-08-28 00:00:00","30 Main St",NULL,Singapore,Singapore,"Mobile App"
05933f9f_yan.7082202307_acce8,05933f9f_yan.7082202307,"2023-06-27 00:00:00",Returned,"Bank Transfer",25.52,13.99,46.09,"2023-06-29 00:00:00","2023-07-06 00:00:00","5 Main St",NULL,Singapore,Singapore,"Mobile App"
05933f9f_yan.7082202307_bf19d,05933f9f_yan.7082202307,"2024-02-16 00:00:00",Pending,PayPal,0.63,17.88,32.65,"2024-02-19 00:00:00","2024-02-22 00:00:00","39 Main St",NULL,Singapore,Singapore,"Mobile App"
05933f9f_yan.7082202307_c05bd,05933f9f_yan.7082202307,"2024-03-02 00:00:00",Delivered,"Bank Transfer",7.88,6.95,9.88,"2024-03-04 00:00:00","2024-03-13 00:00:00","60 Main St",NULL,Singapore,Singapore,Website
05933f9f_yan.7082202307_deb7c,05933f9f_yan.7082202307,"2023-05-06 00:00:00",Shipped,"Credit Card",36.82,8.28,21.97,"2023-05-11 00:00:00","2023-05-14 00:00:00","71 Main St",NULL,Singapore,Singapore,"Social Media"
05933f9f_yan.7082202307_eafe5,05933f9f_yan.7082202307,"2023-11-14 00:00:00",Pending,PayPal,10.10,5.15,30.06,"2023-11-15 00:00:00","2023-11-24 00:00:00","24 Main St",NULL,Singapore,Singapore,"Mobile App"
05b2eaae_ren.1678202204_0dd9c,05b2eaae_ren.1678202204,"2023-08-14 00:00:00",Delivered,"Bank Transfer",35.10,6.50,34.94,"2023-08-17 00:00:00","2023-08-25 00:00:00","38 Main St",NULL,Osaka,Japan,"Mobile App"
05b2eaae_ren.1678202204_201a3,05b2eaae_ren.1678202204,"2024-04-23 00:00:00",Shipped,"Credit Card",35.30,17.68,9.33,"2024-04-26 00:00:00","2024-04-29 00:00:00","58 Main St",NULL,Osaka,Japan,"Mobile App"
05b2eaae_ren.1678202204_2507e,05b2eaae_ren.1678202204,"2023-06-18 00:00:00",Returned,"Cash on Delivery",12.00,16.24,15.02,"2023-06-24 00:00:00","2023-07-02 00:00:00","34 Main St",NULL,Osaka,Japan,"Social Media"
05b2eaae_ren.1678202204_72732,05b2eaae_ren.1678202204,"2024-02-09 00:00:00",Pending,"Credit Card",12.30,10.61,33.95,"2024-02-10 00:00:00","2024-02-14 00:00:00","38 Main St",NULL,Osaka,Japan,"Mobile App"
05b2eaae_ren.1678202204_9ca55,05b2eaae_ren.1678202204,"2024-03-28 00:00:00",Shipped,"Cash on Delivery",27.80,11.92,7.93,"2024-03-29 00:00:00","2024-04-04 00:00:00","66 Main St",NULL,Osaka,Japan,"Social Media"
05b2eaae_ren.1678202204_f7162,05b2eaae_ren.1678202204,"2023-01-19 00:00:00",Cancelled,"Credit Card",26.75,15.78,10.70,"2023-01-22 00:00:00","2023-01-29 00:00:00","22 Main St",NULL,Osaka,Japan,"Mobile App"
05b2eaae_ren.1678202204_ff191,05b2eaae_ren.1678202204,"2024-02-21 00:00:00",Cancelled,"Credit Card",42.48,5.73,34.31,"2024-02-24 00:00:00","2024-02-26 00:00:00","78 Main St",NULL,Osaka,Japan,"Mobile App"
06523725_will0211202210_0b4b9,06523725_will0211202210,"2024-04-27 00:00:00",Shipped,PayPal,40.94,6.85,23.80,"2024-05-03 00:00:00","2024-05-08 00:00:00","66 Main St",NULL,Georgia,USA,"Mobile App"
06523725_will0211202210_2659d,06523725_will0211202210,"2024-04-05 00:00:00",Delivered,"Credit Card",48.39,12.79,39.98,"2024-04-08 00:00:00","2024-04-09 00:00:00","40 Main St",NULL,Georgia,USA,Website
06523725_will0211202210_2d361,06523725_will0211202210,"2024-03-26 00:00:00",Returned,"Bank Transfer",43.92,13.66,47.36,"2024-03-29 00:00:00","2024-04-03 00:00:00","36 Main St",NULL,Georgia,USA,"Social Media"
06523725_will0211202210_30b03,06523725_will0211202210,"2023-12-02 00:00:00",Cancelled,PayPal,41.07,12.13,41.48,"2023-12-08 00:00:00","2023-12-06 00:00:00","55 Main St",NULL,Georgia,USA,"Mobile App"
06523725_will0211202210_4b145,06523725_will0211202210,"2024-02-09 00:00:00",Returned,"Credit Card",44.30,6.78,28.47,"2024-02-11 00:00:00","2024-02-21 00:00:00","57 Main St",NULL,Georgia,USA,"Mobile App"
06523725_will0211202210_4f3e2,06523725_will0211202210,"2023-09-30 00:00:00",Cancelled,PayPal,7.61,8.12,10.95,"2023-10-07 00:00:00","2023-10-08 00:00:00","10 Main St",NULL,Georgia,USA,"Social Media"
06523725_will0211202210_64e84,06523725_will0211202210,"2023-07-24 00:00:00",Delivered,PayPal,14.27,8.88,38.89,"2023-07-25 00:00:00","2023-08-04 00:00:00","88 Main St",NULL,Georgia,USA,"Mobile App"
06523725_will0211202210_7bafe,06523725_will0211202210,"2023-01-11 00:00:00",Returned,"Credit Card",7.31,7.25,41.43,"2023-01-15 00:00:00","2023-01-18 00:00:00","81 Main St",NULL,Georgia,USA,"Social Media"
06523725_will0211202210_819fa,06523725_will0211202210,"2023-10-02 00:00:00",Returned,"Bank Transfer",33.08,19.50,29.27,"2023-10-08 00:00:00","2023-10-06 00:00:00","83 Main St",NULL,Georgia,USA,"Social Media"
06523725_will0211202210_8a503,06523725_will0211202210,"2023-03-10 00:00:00",Shipped,"Credit Card",29.13,10.02,30.81,"2023-03-17 00:00:00","2023-03-16 00:00:00","39 Main St",NULL,Georgia,USA,"Social Media"
06523725_will0211202210_8c6f6,06523725_will0211202210,"2024-01-24 00:00:00",Delivered,PayPal,14.86,7.66,10.93,"2024-01-29 00:00:00","2024-01-28 00:00:00","24 Main St",NULL,Georgia,USA,"Mobile App"
06523725_will0211202210_9b107,06523725_will0211202210,"2023-10-11 00:00:00",Pending,"Cash on Delivery",38.51,5.26,28.70,"2023-10-18 00:00:00","2023-10-18 00:00:00","23 Main St",NULL,Georgia,USA,"Mobile App"
06523725_will0211202210_9e956,06523725_will0211202210,"2023-05-04 00:00:00",Shipped,"Cash on Delivery",6.95,13.63,34.10,"2023-05-07 00:00:00","2023-05-10 00:00:00","42 Main St",NULL,Georgia,USA,Website
06523725_will0211202210_cbc9f,06523725_will0211202210,"2023-09-25 00:00:00",Pending,"Credit Card",27.08,13.02,39.17,"2023-09-27 00:00:00","2023-09-28 00:00:00","5 Main St",NULL,Georgia,USA,"Social Media"
06523725_will0211202210_f93c5,06523725_will0211202210,"2023-05-19 00:00:00",Shipped,"Cash on Delivery",40.66,11.68,22.09,"2023-05-22 00:00:00","2023-06-02 00:00:00","52 Main St",NULL,Georgia,USA,"Social Media"
06604368_li.t4050202310_0ff0f,06604368_li.t4050202310,"2023-01-19 00:00:00",Pending,PayPal,41.96,16.43,29.43,"2023-01-25 00:00:00","2023-02-02 00:00:00","41 Main St",NULL,Singapore,Singapore,"Social Media"
06604368_li.t4050202310_7b22e,06604368_li.t4050202310,"2023-03-09 00:00:00",Pending,"Bank Transfer",25.11,12.65,24.76,"2023-03-12 00:00:00","2023-03-22 00:00:00","56 Main St",NULL,Singapore,Singapore,"Mobile App"
06604368_li.t4050202310_82136,06604368_li.t4050202310,"2023-03-22 00:00:00",Returned,"Cash on Delivery",15.72,9.46,10.90,"2023-03-27 00:00:00","2023-03-28 00:00:00","54 Main St",NULL,Singapore,Singapore,"Mobile App"
06604368_li.t4050202310_844f6,06604368_li.t4050202310,"2023-05-27 00:00:00",Pending,"Bank Transfer",46.75,17.73,23.70,"2023-06-02 00:00:00","2023-06-08 00:00:00","34 Main St",NULL,Singapore,Singapore,"Mobile App"
06604368_li.t4050202310_88f4b,06604368_li.t4050202310,"2023-05-17 00:00:00",Returned,"Credit Card",20.41,8.02,17.87,"2023-05-21 00:00:00","2023-05-31 00:00:00","25 Main St",NULL,Singapore,Singapore,"Social Media"
06604368_li.t4050202310_9aed7,06604368_li.t4050202310,"2024-01-22 00:00:00",Delivered,"Bank Transfer",26.68,13.57,31.41,"2024-01-28 00:00:00","2024-01-28 00:00:00","88 Main St",NULL,Singapore,Singapore,"Mobile App"
06604368_li.t4050202310_9e8b0,06604368_li.t4050202310,"2023-06-24 00:00:00",Pending,"Cash on Delivery",43.19,12.04,21.15,"2023-06-29 00:00:00","2023-07-06 00:00:00","92 Main St",NULL,Singapore,Singapore,"Social Media"
06604368_li.t4050202310_a3b2e,06604368_li.t4050202310,"2023-02-09 00:00:00",Returned,"Cash on Delivery",42.14,12.97,12.25,"2023-02-11 00:00:00","2023-02-13 00:00:00","39 Main St",NULL,Singapore,Singapore,"Mobile App"
06604368_li.t4050202310_b4955,06604368_li.t4050202310,"2023-01-17 00:00:00",Delivered,"Bank Transfer",45.50,12.21,42.85,"2023-01-22 00:00:00","2023-01-23 00:00:00","43 Main St",NULL,Singapore,Singapore,"Social Media"
06604368_li.t4050202310_d4ac5,06604368_li.t4050202310,"2023-05-01 00:00:00",Pending,"Credit Card",32.95,10.33,22.03,"2023-05-04 00:00:00","2023-05-06 00:00:00","57 Main St",NULL,Singapore,Singapore,"Social Media"
